track,artist,playcount,listeners,mbid,date_fetched
Century,EsDeeKid,2336034,233090,665836e7-a7bb-4fbf-a830-e551f4027c0f,2025-12-24 16:58:57.439253
All I Wanted,Paramore,21404666,1605412,0516b5b0-de25-391d-a668-c79ad3854ff4,2025-12-24 16:58:57.439253
SUGAR ON MY TONGUE,"Tyler, The Creator",10190293,1100110,4a403575-fb56-4a9a-a8d8-9f080e808de0,2025-12-24 16:58:57.439253
Linger,The Cranberries,30236565,2314903,,2025-12-24 16:58:57.439253
party 4 u,Charli xcx,17881456,1089395,fb3bf579-9379-4bf3-984a-57ff8c85fe38,2025-12-24 16:58:57.439253
Promiscuous,Nelly Furtado,20471867,2130244,,2025-12-24 16:58:57.439253
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,4362805,784372,0cc24b99-6d34-4d86-a89b-664059a22f67,2025-12-24 16:58:57.439253
Everybody Wants to Rule the World,Tears for Fears,29587417,2657096,0ecd84b9-0874-34e8-b412-50c711f87516,2025-12-24 16:58:57.439253
we can't be friends (wait for your love),Ariana Grande,32418445,1308313,b6587011-5a7c-4664-82ad-7a6368f4bd99,2025-12-24 16:58:57.439253
12 to 12,sombr,6101143,599594,aa4d95ad-3db9-45c0-a11e-6094765cc0d4,2025-12-24 16:58:57.439253
Sextape,Deftones,25692912,1443740,e6aaa0a9-3ad2-382e-a83f-25c2795d1e78,2025-12-24 16:58:57.439253
Bring Me to Life,Evanescence,28069073,2685724,,2025-12-24 16:58:57.439253
